SITE_ID,LATITUDE,LONGITUDE,MAX_HEIGHT_M,SITE_NAME,STATUS
133682,-33.88866,151.27217,15.0,"Telstra Rooftop Site 62-64 Roscoe Street BONDI BEACH",MATCHED
135236,-32.710193,152.160859,10.4,"Optus Site Shoal Bay Lighthouse Rd NELSON BAY",MATCHED
9009054,-32.92752,151.76306,33.0,"Rooftop Travelodge Hotel 12 Steel St NEWCASTLE WEST",MATCHED
202530,-33.873469,151.199643,29.0,"Telstra Site Darling Drive DARLING HARBOUR",MATCHED
101246,-33.865112,151.20718,48.0,"ANZ Bank 275-281 George Street SYDNEY",MATCHED
130872,-33.487465,151.391272,34.4,"Vodafone/Telstra/Optus Site 63 Empire Bay Rd KINCUMBER",MATCHED
130190,-32.829035,151.477616,35.0,"CMTS Site Water Reservoir cnr Minmi & Hebburn Sts PELAW MAIN",MATCHED
201127,-33.82495,151.19898,56.0,"Telstra site 28 Clark St CROWS NEST",MATCHED
4011,-33.840362,151.211705,44.0,"Telstra Site 275 Alfred St KIRRIBILLI",MATCHED
201130,-33.866615,151.208867,80.2,"Telstra Exchange 76 to 78 Pitt Street SYDNEY",MATCHED
201777,-33.860949,151.20985,105.0,"Telstra Site 1 Macquarie Place SYDNEY",MATCHED
204008,-33.839812,151.220438,25.0,"CMTS Site 112 Kurraba Rd NEUTRAL BAY",MATCHED
9010875,-33.794109,151.033947,45.0,"3GIS Site 94 Bettington Rd OATLANDS",MATCHED
53790,-33.861434,151.212856,61.4,"Optus Site 71 Macquarie Street SYDNEY",MATCHED
9008905,-34.453629,150.857776,30.5,"Adj Indoor Swimming Centre Marley Pl UNANDERRA",MATCHED
205973,-33.850594,151.032219,54.2,"Optus Site Auburn Central Building E Queen St AUBURN",MATCHED
133362,-33.771184,150.985728,9.0,"Hutchison Site RTA Light Pole M2 cnr Cropley Drive & Junction Rd WINSTON HILLS",MATCHED
132343,-33.765612,150.740914,21.6,"Telstra Rooftop site Building BA UWA 3 Great Western Hwy KINGSWOOD",MATCHED
53657,-34.0152,151.01263,51.0,"Telstra Site Old Illawarra Menai Rd MENAI",MATCHED
9002659,-34.043436,150.818871,20.0,"Fullwood Football Reserve off Fullwood Place CLAYMORE",MATCHED
9007438,-34.683229,150.838325,8.1,"3GIS Site Saddleback Mountain  Rd KIAMA",MATCHED
9002657,-34.057434,150.783335,41.0,"Telstra No.4 Kenny Hill Road CURRANS HILL",MATCHED
9002683,-33.785199,150.880407,40.0,"Produce One 27 Holbeche Rd ARNDELL PARK",MATCHED
9009175,-34.64425,150.853805,14.7,"3GIS Microcell Site Cliff Drive KIAMA DOWNS",MATCHED
9004281,-33.996109,150.898577,12.5,"Macquarie Fields Residential NEAR 2 LIGHT ST GRIFFITH",MATCHED
9004137,-33.906639,151.102106,29.3,"Campsie North 8 - 16 EIGHTH AVE CAMPSIE",MATCHED
201095,-33.875473,151.158347,26.0,"Telstra site Derbyshire Rd LEICHHARDT",MATCHED
201138,-33.806666,151.24705,19.0,"Telstra site Parriwi Rd THE SPIT",MATCHED
201917,-33.776352,150.664441,31.2,"Vodafone Site Pump Station cnr Glenmore Parkway & Mulgoa Rd GLENMORE PARK",MATCHED
201090,-33.95762,150.89041,25.0,"Telstra Site 684 Hume Highway CASULA",MATCHED
101245,-33.856307,151.178019,19.0,"Bijou Building 2A Rowntree Street BALMAIN",MATCHED
9007821,-33.902279,150.872857,37.0,"3GIS Site Green Valley Rd GREEN VALLEY",MATCHED
202379,-33.955233,151.138148,18.0,"Commercial Building 588 Princes Hwy ROCKDALE",MATCHED
51091,-33.314599,151.405187,47.0,"CMTS Site Trig Reserve TANGY DANGY MTN",MATCHED
9004342,-34.489479,150.812335,41.4,"Kanahooka KANAHOOKA  RD KANAHOOKA",MATCHED
4316,-33.728672,151.293309,29.0,"Water Tower Aubreen and Grevillea Streets COLLAROY PLATEAU",MATCHED
9007112,-34.407229,150.878536,21.8,"Telstra ITC Building Wollongong Uni Northfields Ave KEIRAVILLE",MATCHED
