SITE_ID,LATITUDE,LONGITUDE,SITE_NAME,NOTES
10000130,-33.726148,150.98203,"Inflatable World Castle Hill 3/18 Anella Ave Castle Hill","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000132,-27.301312,153.016877,"Construction Site Gateway Mwy and Bruce Hwy Merge BALD HILLS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000134,-35.270927,149.134183,"Cnr Girrahween and Torrens Sts BRADDON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000135,-35.271935,149.132599,"27 Lonsdale St BRADDON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000136,-37.819175,145.121139,"Woolworths Box Hill Cnr Main Street & Station Street Box Hill","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000137,-34.92258,138.616404,"16 - 17 Dequetteville Terrace Kent Town","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000138,-37.914,145.132754,"21 Wellington Rd Clayton","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000139,-38.382962,142.481536,"Warrnambool Hotel Cnr Koroit and Kepler Streets Warrnambool","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000141,-31.956417,115.845242,"10 Bellevue Terrace West Perth","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000142,-31.278384,119.367979,"Watpac Site","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000143,-37.8189,144.9751,"Circus Oz Birrarung Marr MELBOURNE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000145,-37.799525,144.953431,"46 Villiers Street NORTH MELBOURNE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000146,-27.471337,153.028472,"Crane 2 111 Mary Street BRISBANE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000147,-27.471498,153.028268,"Crane 1 111 Mary Street BRISBANE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000148,-31.949303,115.863829,"97 Stirling Street Northbridge","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000153,-27.931735,153.394585,"Waterpoint Building 5 Harbourside Court Biggera Waters","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000157,-37.685169,144.461871,"6 Woolpack Road Bacchus Marsh","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000161,-36.3814,145.3981,"Shepparton Police Station 155 Welsford Street SHEPPARTON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000166,-32.17354,115.902752,"NBN Co Site 358 Taylor Road FORRESTDALE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000168,-32.03351,116.124627,"NBN Co Site 65 McCorkill Road Pickering Brook","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000169,-32.412046,115.804574,"NBN Co Site 301 Amarillo Drive Karnup","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000177,-35.277556,149.114147,"Cnr Clunies Ross and Dickson Road Acton","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000178,-27.482915,153.000396,"Soko 17-21 Duncan St WEST END","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000179,-37.9661,145.0564,"2-6 Railway Road CHELTENHAM","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000197,-38.38987,145.01965,"NBNCo 83 Shoreham Road Red Hill South","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000202,-33.770925,151.078101,"7-9 Cliff Rd EPPING","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000203,-33.904697,151.200484,"12-14 Mandible St ALEXANDRIA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000205,-36.894922,144.803436,"DGPS Site McNichols Ln COSTERFIELD","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000206,-27.486331,152.993951,"37 Archer St TOOWONG","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000207,-26.657943,150.657824,"Red Hill 9km NNE of CHINCHILLA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000212,-34.860449,146.920003,"Matong State Forest Deepwater Rd MATONG","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000213,-32.545223,137.718623,"COW Trailer Near El Alamein Camp Cultana","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000217,-37.787878,145.113122,"3 Pettys Lane DONCASTER","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000218,-33.874539,151.207689,"Cnr Pitt and Bathurst Sts SYDNEY","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000219,-26.960401,150.477901,"Orana Ponds via Chinchilla Tara Rd CROSSROADS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000220,-33.120501,148.957301,"2321 Mitchell Hwy MOLONG","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000221,-29.502801,153.201201,"72 McIntyres Ln GULMARRAD","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000222,-28.470468,153.518914,"COW Central CCT BYRON  BAY","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000223,-42.812265,147.245496,"Tasmanet Rooftop Site 11-13 Coraki St CHIGWELL","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000224,-43.030524,147.048934,"Tasmanet Rooftop Site 40 Main Rd Huonville","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000229,-26.57672,152.94514,"NBN Co 72-74 Bracken Fern Road Yandina","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
